date,FPOA,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Rahu
2022-02-15,33.730671,0.000000,160.259123,333.810979,319.712880,319.431721,14.229245,350.891219,74.873840,25.625027,331.114528,90.337908
2022-02-16,32.720869,0.000000,171.748851,333.743653,319.258281,319.159436,13.457905,350.000273,73.887845,24.650261,330.134296,89.275053
2022-02-17,31.711497,0.000000,183.471117,333.724493,318.827518,318.888106,12.687366,349.109536,72.903061,23.676131,329.154237,88.212609
2022-02-18,30.702546,0.000000,195.416552,333.749879,318.419697,318.617725,11.917588,348.218980,71.919471,22.702622,328.174350,87.150584
2022-02-19,29.694004,0.000000,207.566138,333.816573,318.033945,318.348284,11.148547,347.328578,70.937061,21.729715,327.194637,86.088984
2022-02-20,28.685854,0.000000,219.897937,333.921693,317.669416,318.079773,10.380207,346.438304,69.955813,20.757391,326.215083,85.027817
2022-02-21,27.678082,0.000000,232.393472,334.062671,317.325282,317.812183,9.612545,345.548129,68.975714,19.785635,325.235656,83.967088
2022-02-22,26.670672,0.000000,245.041924,334.237228,317.000743,317.545502,8.845528,344.658029,67.996749,18.814431,324.256327,82.906805
2022-02-23,25.663615,0.000000,257.840694,334.443347,316.695018,317.279720,8.079140,343.767982,67.018909,17.843768,323.277079,81.846973
2022-02-24,24.656909,0.000000,270.791793,334.679242,316.407355,317.014827,7.313367,342.877966,66.042185,16.873637,322.297917,80.787599
2022-02-25,23.650559,0.000000,283.894569,334.943340,316.137025,316.750816,6.548181,341.987968,65.066575,15.904032,321.318856,79.728688
2022-02-26,22.644580,0.000000,297.136376,335.234262,315.883326,316.487682,5.783575,341.097974,64.092079,14.934951,320.339903,78.670248
2022-02-27,21.638992,0.000000,310.483786,335.550799,315.645585,316.225422,5.019530,340.207979,63.118704,13.966399,319.361057,77.612282
2022-02-28,20.633822,0.000000,323.877604,335.891903,315.423159,315.964037,4.256046,339.317980,62.146458,12.998385,318.382308,76.554797
2022-03-01,19.629098,0.000000,337.234581,336.256666,315.215437,315.703532,3.493112,338.427978,61.175356,12.030922,317.403660,75.497798
2022-03-02,18.624847,0.000000,350.456889,336.644310,315.021841,315.443913,2.730737,337.537977,60.205413,11.064024,316.425137,74.441291
2022-03-03,17.621091,0.000000,3.447377,337.054173,314.841824,315.185192,1.968927,336.647982,59.236645,10.097706,315.446775,73.385280
2022-03-04,16.617847,0.000000,16.125992,337.485701,314.674871,314.927378,1.207671,335.757996,58.269068,9.131984,314.468605,72.329770
2022-03-05,15.615133,0.000000,28.442384,337.938433,314.520499,314.670483,0.446948,334.868022,57.302695,8.166870,313.490643,71.274766
2022-03-06,14.612960,0.000000,40.381697,338.411994,314.378249,314.414518,359.686706,333.978062,56.337536,7.202377,312.512885,70.220272
2022-03-07,13.611342,0.000000,51.963622,338.906088,314.247689,314.159492,358.927057,333.088112,55.373600,6.238513,311.535326,69.166293
2022-03-08,12.610291,0.000000,63.236809,339.420490,314.128408,313.905412,358.167962,332.198167,54.410888,5.275283,310.557976,68.112833
2022-03-09,11.609816,0.000000,74.271244,339.955036,314.020015,313.652286,357.409387,331.308219,53.449402,4.312689,309.580853,67.059896
2022-03-10,10.609928,0.000000,85.150499,340.509624,313.922136,313.400117,356.651320,330.418258,52.489139,3.350728,308.603979,66.007486
2022-03-11,9.610635,0.000000,95.964772,341.084202,313.834416,313.148908,355.893741,329.528271,51.530095,2.389400,307.627358,64.955606
2022-03-12,8.611945,0.000000,106.804820,341.678767,313.756513,312.898660,355.136635,328.638245,50.572263,1.428699,306.650976,63.904260
2022-03-13,7.613862,0.000000,117.756490,342.293360,313.688100,312.649372,354.379975,327.748163,49.615632,0.468589,305.674810,62.853452
2022-03-14,6.616388,0.000000,128.895481,342.928059,313.628865,312.401043,353.623750,326.858007,48.660193,359.509020,304.698847,61.803184
2022-03-15,5.619525,0.000000,140.282209,343.582977,313.578507,312.153668,352.867922,325.967759,47.705930,358.550114,303.723090,60.753459
2022-03-16,4.623267,0.000000,151.957087,344.258258,313.536738,311.907241,352.112480,325.077396,46.752828,357.591811,302.747546,59.704281
2022-03-17,3.627606,0.000000,163.937028,344.954067,313.503280,311.661754,351.357397,324.186892,45.800866,356.634068,301.772211,58.655651
2022-03-18,2.632527,0.000000,176.214338,345.670589,313.477862,311.417196,350.602644,323.296222,44.850022,355.676866,300.797064,57.607573
2022-03-19,1.638012,0.000000,188.759033,346.408022,313.460223,311.173551,349.848188,322.405354,43.900273,354.720182,299.822068,56.560048
2022-03-20,0.644036,0.000000,201.524773,347.166571,313.450106,310.930804,349.093988,321.514257,42.951593,353.763994,298.847188,55.513079
2022-03-21,359.650576,0.000000,214.457379,347.946437,313.447260,310.688934,348.340019,320.622899,42.003954,352.808277,297.872408,54.466668
2022-03-22,358.657609,0.000000,227.503677,348.747815,313.451439,310.447921,347.586233,319.731246,41.057333,351.853006,296.897725,53.420816
2022-03-23,357.665120,0.000000,240.618174,349.570876,313.462400,310.207742,346.832608,318.839267,40.111706,350.898161,295.923137,52.375525
2022-03-24,356.673099,0.000000,253.765789,350.415763,313.479909,309.968377,346.079115,317.946934,39.167053,349.943723,294.948628,51.330797
2022-03-25,355.681546,0.000000,266.920317,351.282572,313.503736,309.729805,345.325730,317.054222,38.223358,348.989679,293.974173,50.286632
2022-03-26,354.690468,0.000000,280.059695,352.171337,313.533660,309.492007,344.572426,316.161110,37.280608,348.036018,292.999747,49.243031
2022-03-27,353.699876,0.000000,293.160049,353.082009,313.569468,309.254968,343.819181,315.267581,36.338797,347.082732,292.025347,48.199997
2022-03-28,352.709784,0.000000,306.190762,354.014434,313.610960,309.018675,343.065984,314.373625,35.397921,346.129821,291.050987,47.157528
2022-03-29,351.720207,0.000000,319.112425,354.968324,313.657943,308.783118,342.312809,313.479234,34.457982,345.177288,290.076695,46.115626
2022-03-30,350.731157,0.000000,331.878617,355.943227,313.710238,308.548292,341.559660,312.584403,33.518981,344.225139,289.102488,45.074292
2022-03-31,349.742648,0.000000,344.441223,356.938493,313.767677,308.314192,340.806525,311.689131,32.580925,343.273381,288.128368,44.033525
2022-04-01,348.754688,0.000000,356.757782,357.953229,313.830102,308.080817,340.053408,310.793418,31.643820,342.322025,287.154331,42.993325
2022-04-02,347.767290,0.000000,8.798789,358.986268,313.897367,307.848166,339.300293,309.897263,30.707671,341.371077,286.180381,41.953693
2022-04-03,346.780463,0.000000,20.553119,0.036131,313.969335,307.616241,338.547173,309.000667,29.772483,340.420545,285.206539,40.914627
2022-04-04,345.794220,0.000000,32.030617,1.100939,314.045877,307.385042,337.794042,308.103628,28.838259,339.470436,284.232836,39.876128
2022-04-05,344.808573,0.000000,43.261900,2.178395,314.126871,307.154570,337.040880,307.206141,27.904998,338.520755,283.259296,38.838195
2022-04-06,343.823533,0.000000,54.296079,3.265797,314.212203,306.924824,336.287681,306.308200,26.972699,337.571504,282.285921,37.800827
2022-04-07,342.839110,0.000000,65.197262,4.359950,314.301761,306.695801,335.534430,305.409798,26.041358,336.622683,281.312702,36.764023
2022-04-08,341.855313,0.000000,76.040539,5.457164,314.395441,306.467500,334.781121,304.510924,25.110967,335.674287,280.339624,35.727782
2022-04-09,340.872151,0.000000,86.907744,6.553263,314.493141,306.239915,334.027725,303.611565,24.181520,334.726312,279.366692,34.692103
2022-04-10,339.889627,0.000000,97.883030,7.643605,314.594763,306.013042,333.274225,302.711708,23.253003,333.778752,278.393920,33.656983
2022-04-11,338.907744,0.000000,109.048013,8.723134,314.700215,305.786874,332.520601,301.811336,22.325406,332.831600,277.421323,32.622423
2022-04-12,337.926502,0.000000,120.476259,9.786442,314.809404,305.561402,331.766819,300.910433,21.398712,331.884844,276.448900,31.588419
2022-04-13,336.945894,0.000000,132.227058,10.827870,314.922242,305.336616,331.012859,300.008978,20.472903,330.938470,275.476630,30.554970
2022-04-14,335.965911,0.000000,144.338857,11.841613,315.038644,305.112505,330.258693,299.106947,19.547958,329.992460,274.504482,29.522073
2022-04-15,334.986535,0.000000,156.823360,12.821840,315.158523,304.889051,329.504300,298.204316,18.623853,329.046795,273.532437,28.489727
2022-04-16,334.007743,0.000000,169.661861,13.762818,315.281795,304.666238,328.749635,297.301055,17.700560,328.101453,272.560490,27.457930
2022-04-17,333.029507,0.000000,182.805498,14.659021,315.408375,304.444043,327.994665,296.397132,16.778050,327.156407,271.588638,26.426677
2022-04-18,332.051798,0.000000,196.180403,15.505232,315.538175,304.222438,327.239349,295.492511,15.856289,326.211628,270.616868,25.395968
2022-04-19,331.074586,0.000000,209.697239,16.296615,315.671107,304.001395,326.483637,294.587157,14.935244,325.267085,269.645148,24.365798
2022-04-20,330.097850,0.000000,223.262962,17.028762,315.807079,303.780880,325.727492,293.681034,14.014880,324.322749,268.673435,23.336166
2022-04-21,329.121577,0.000000,236.791820,17.697720,315.946000,303.560860,324.970871,292.774105,13.095169,323.378592,267.701696,22.307067
2022-04-22,328.145758,0.000000,250.213044,18.299983,316.087779,303.341302,324.213750,291.866340,12.176083,322.434592,266.729918,21.278499
2022-04-23,327.170391,0.000000,263.474113,18.832473,316.232327,303.122172,323.456082,290.957711,11.257599,321.490732,265.758106,20.250457
2022-04-24,326.195478,0.000000,276.540006,19.292501,316.379558,302.903443,322.697841,290.048195,10.339701,320.546996,264.786270,19.222939
2022-04-25,325.221019,0.000000,289.389853,19.677719,316.529391,302.685087,321.938997,289.137775,9.422374,319.603375,263.814404,18.195941
2022-04-26,324.247015,0.000000,302.012693,19.986071,316.681750,302.467080,321.179522,288.226436,8.505609,318.659862,262.842494,17.169458
2022-04-27,323.273469,0.000000,314.403725,20.215744,316.836563,302.249403,320.419396,287.314169,7.589401,317.716458,261.870529,16.143488
2022-04-28,322.300382,0.000000,326.561900,20.365123,316.993763,302.032037,319.658598,286.400967,6.673746,316.773163,260.898514,15.118025
2022-04-29,321.327757,0.000000,338.489112,20.432756,317.153291,301.814967,318.897128,285.486826,5.758642,315.829981,259.926475,14.093065
2022-04-30,320.355600,0.000000,350.190789,20.417328,317.315090,301.598181,318.134956,284.571743,4.844087,314.886916,258.954441,13.068604
2022-05-01,319.383917,0.000000,1.677387,20.317643,317.479108,301.381667,317.372076,283.655716,3.930081,313.943970,257.982431,12.044638
2022-05-02,318.412718,0.000000,12.966222,20.132626,317.645298,301.165415,316.608468,282.738744,3.016624,313.001148,257.010445,11.021161
2022-05-03,317.442013,0.000000,24.083134,19.861328,317.813614,300.949416,315.844115,281.820826,2.103719,312.058453,256.038474,9.998169
2022-05-04,316.471813,0.000000,35.063631,19.502955,317.984016,300.733660,315.078998,280.901960,1.191374,311.115888,255.066520,8.975658
2022-05-05,315.502129,0.000000,45.953343,19.056895,318.156465,300.518138,314.313100,279.982143,0.279596,310.173455,254.094601,7.953621
2022-05-06,314.532968,0.000000,56.807717,18.522777,318.330922,300.302839,313.546416,279.061370,359.367965,309.231152,253.122742,6.932054
2022-05-07,313.564340,0.000000,67.690957,17.900520,318.507353,300.087754,312.778915,278.139634,358.457234,308.288975,252.150962,5.910951
2022-05-08,312.596249,0.000000,78.674149,17.190411,318.685722,299.872872,312.010583,277.216928,357.546966,307.346920,251.179258,4.890307
2022-05-09,311.628696,0.000000,89.832459,16.393176,318.865997,299.658181,311.241389,276.293243,356.637181,306.404982,250.207615,3.870117
2022-05-10,310.661681,0.000000,101.241161,15.510074,319.048146,299.443668,310.471310,275.368567,355.727873,305.463154,249.236016,2.850375
2022-05-11,309.695199,0.000000,112.970260,14.542976,319.232138,299.229318,309.700312,274.442886,354.819028,304.521426,248.264464,1.831075
2022-05-12,308.729238,0.000000,125.077551,13.494455,319.417941,299.015118,308.928365,273.516186,353.910627,303.579784,247.292969,0.812210
2022-05-13,307.763783,0.000000,137.600369,12.367867,319.605525,298.801049,308.155451,272.588446,353.002649,302.638211,246.321539,359.793777
2022-05-14,306.798810,0.000000,150.546965,11.167415,319.794857,298.587091,307.381522,271.659646,352.095069,301.696688,245.350164,358.775767
2022-05-15,305.834290,0.000000,163.889363,9.898198,319.985905,298.373218,306.606545,270.729757,351.187855,300.755190,244.378812,357.758175
2022-05-16,304.870193,0.000000,177.560294,8.566233,320.178632,298.159401,305.830466,269.798750,350.280975,299.813690,243.407443,356.740995
2022-05-17,303.906488,0.000000,191.456679,7.178446,320.372998,297.945605,305.053243,268.866590,349.374390,298.872156,242.436028,355.724220
2022-05-18,302.943152,0.000000,205.450704,5.742617,320.568962,297.731791,304.274812,267.933243,348.468062,297.930554,241.464554,354.707843
2022-05-19,301.980166,0.000000,219.406829,4.267301,320.766478,297.517916,303.495127,266.998673,347.561954,296.988852,240.493015,353.691859
2022-05-20,301.017516,0.000000,233.200527,2.761697,320.965501,297.303934,302.714146,266.062848,346.656030,296.047020,239.521397,352.676260
2022-05-21,300.055190,0.000000,246.733605,1.235488,321.165983,297.089802,301.931817,265.125739,345.750259,295.105032,238.549673,351.661040
2022-05-22,299.093177,0.000000,259.942459,359.698662,321.367880,296.875477,301.148103,264.187323,344.844615,294.162869,237.577811,350.646191
2022-05-23,298.131468,0.000000,272.798537,358.161305,321.571151,296.660917,300.362955,263.247583,343.939077,293.220517,236.605792,349.631707
2022-05-24,297.170051,0.000000,285.302861,356.633395,321.775756,296.446088,299.576347,262.306504,343.033628,292.277963,235.633620,348.617581
2022-05-25,296.208919,0.000000,297.477622,355.124603,321.981659,296.230954,298.788232,261.364078,342.128253,291.335200,234.661317,347.603805
2022-05-26,295.248066,0.000000,309.357534,353.644106,322.188829,296.015487,297.998585,260.420300,341.222943,290.392225,233.688901,346.590373
2022-05-27,294.287488,0.000000,320.982662,352.200429,322.397237,295.799656,297.207388,259.475168,340.317690,289.449037,232.716377,345.577276
2022-05-28,293.327187,0.000000,332.393482,350.801316,322.606857,295.583438,296.414613,258.528680,339.412486,288.505637,231.743737,344.564508
2022-05-29,292.367166,0.000000,343.628213,349.453645,322.817665,295.366809,295.620240,257.580841,338.507325,287.562028,230.770976,343.552061
2022-05-30,291.407432,0.000000,354.722123,348.163369,323.029641,295.149747,294.824237,256.631652,337.602204,286.618211,229.798103,342.539928
2022-05-31,290.447992,0.000000,5.708349,346.935502,323.242765,294.932233,294.026591,255.681120,336.697116,285.674189,228.825147,341.528100
2022-06-01,289.488857,0.000000,16.619695,345.774135,323.457023,294.714248,293.227263,254.729251,335.792058,284.729964,227.852138,340.516571
2022-06-02,288.530036,0.000000,27.490905,344.682477,323.672398,294.495774,292.426238,253.776048,334.887022,283.785540,226.879091,339.505332
2022-06-03,287.571538,0.000000,38.360931,343.662916,323.888876,294.276793,291.623496,252.821520,333.982004,282.840919,225.906003,338.494376
2022-06-04,286.613370,0.000000,49.274784,342.717099,324.106445,294.057289,290.819016,251.865672,333.076994,281.896103,224.932865,337.483694
2022-06-05,285.655538,0.000000,60.284621,341.846016,324.325094,293.837244,290.012778,250.908509,332.171986,280.951089,223.959678,336.473279
2022-06-06,284.698044,0.000000,71.449761,341.050090,324.544811,293.616642,289.204747,249.950036,331.266968,280.005876,222.986458,335.463123
2022-06-07,283.740887,0.000000,82.835338,340.329268,324.765585,293.395465,288.394909,248.990256,330.361930,279.060462,222.013231,334.453217
2022-06-08,282.784063,0.000000,94.509224,339.683109,324.987407,293.173696,287.583219,248.029171,329.456859,278.114842,221.040011,333.443554
2022-06-09,281.827562,0.000000,106.536833,339.110860,325.210266,292.951317,286.769653,247.066779,328.551739,277.169010,220.066793,332.434125
2022-06-10,280.871369,0.000000,118.973474,338.611535,325.434153,292.728309,285.954181,246.103079,327.646553,276.222957,219.093555,331.424921
2022-06-11,279.915465,0.000000,131.854250,338.183977,325.659057,292.504649,285.136772,245.138062,326.741280,275.276667,218.120279,330.415936
2022-06-12,278.959825,0.000000,145.182398,337.826915,325.884964,292.280313,284.317386,244.171719,325.835891,274.330122,217.146957,329.407159
2022-06-13,278.004423,0.000000,158.918435,337.539016,326.111859,292.055270,283.495972,243.204033,324.930359,273.383300,216.173591,328.398584
2022-06-14,277.049233,0.000000,172.974095,337.318919,326.339726,291.829486,282.672488,242.234983,324.024646,272.436175,215.200178,327.390201
2022-06-15,276.094230,0.000000,187.215705,337.165274,326.568543,291.602917,281.846861,241.264546,323.118715,271.488716,214.226694,326.382002
2022-06-16,275.139396,0.000000,201.479597,337.076763,326.798284,291.375516,281.019040,240.292695,322.212525,270.540888,213.253098,325.373978
2022-06-17,274.184709,0.000000,215.597291,337.052128,327.028923,291.147230,280.188963,239.319405,321.306036,269.592660,212.279346,324.366121
2022-06-18,273.230152,0.000000,229.422887,337.090181,327.260434,290.918005,279.356583,238.344654,320.399211,268.644002,211.305413,323.358422
2022-06-19,272.275702,0.000000,242.853572,337.189820,327.492788,290.687787,278.521841,237.368427,319.492018,267.694888,210.331295,322.350872
2022-06-20,271.321338,0.000000,255.837773,337.350033,327.725959,290.456520,277.684686,236.390712,318.584429,266.745302,209.357000,321.343463
2022-06-21,270.367040,0.000000,268.371420,337.569902,327.959926,290.224157,276.845081,235.411505,317.676420,265.795228,208.382530,320.336186
2022-06-22,269.412792,0.000000,280.486817,337.848602,328.194668,289.990649,276.002969,234.430808,316.767974,264.844657,207.407873,319.329033
2022-06-23,268.458583,0.000000,292.239286,338.185385,328.430165,289.755953,275.158321,233.448625,315.859075,263.893583,206.433010,318.321994
2022-06-24,267.504405,0.000000,303.695102,338.579574,328.666404,289.520029,274.311099,232.464966,314.949710,262.942002,205.457937,317.315061
2022-06-25,266.550256,0.000000,314.922309,339.030536,328.903370,289.282838,273.461286,231.479843,314.039871,261.989913,204.482669,316.308224
2022-06-26,265.596137,0.000000,325.984633,339.537664,329.141052,289.044345,272.608847,230.493269,313.129548,261.037320,203.507233,315.301476
2022-06-27,264.642053,0.000000,336.938134,340.100339,329.379439,288.804515,271.753757,229.505262,312.218734,260.084225,202.531655,314.294806
2022-06-28,263.688009,0.000000,347.830067,340.717897,329.618525,288.563317,270.895997,228.515840,311.307423,259.130631,201.555942,313.288207
2022-06-29,262.734013,0.000000,358.699508,341.389585,329.858302,288.320721,270.035527,227.525023,310.395610,258.176543,200.580090,312.281669
2022-06-30,261.780076,0.000000,9.579325,342.114513,330.098765,288.076699,269.172332,226.532833,309.483291,257.221967,199.604094,311.275184
2022-07-01,260.826204,0.000000,20.499089,342.891599,330.339908,287.831223,268.306381,225.539292,308.570459,256.266907,198.627967,310.268742
2022-07-02,259.872406,0.000000,31.488454,343.719518,330.581730,287.584269,267.437671,224.544424,307.657111,255.311371,197.651741,309.262334
2022-07-03,258.918687,0.000000,42.580471,344.596639,330.824227,287.335810,266.566173,223.548253,306.743240,254.355364,196.675443,308.255952
2022-07-04,257.965051,0.000000,53.814277,345.520979,331.067396,287.085823,265.691867,222.550804,305.828843,253.398890,195.699090,307.249586
2022-07-05,257.011497,0.000000,65.236592,346.490153,331.311236,286.834285,264.814739,221.552100,304.913912,252.441952,194.722677,306.243228
2022-07-06,256.058023,0.000000,76.901460,347.501339,331.555745,286.581172,263.934755,220.552165,303.998440,251.484553,193.746195,305.236869
2022-07-07,255.104621,0.000000,88.867690,348.551264,331.800922,286.326462,263.051896,219.551021,303.082416,250.526695,192.769644,304.230500
2022-07-08,254.151281,0.000000,101.193404,349.636208,332.046764,286.070131,262.166130,218.548688,302.165830,249.568375,191.793039,303.224111
2022-07-09,253.197988,0.000000,113.927240,350.752029,332.293268,285.812154,261.277452,217.545183,301.248667,248.609591,190.816401,302.217694
